playerID,bbrefID,name,pos,sec_pos,era,peak_year,debut_year,last_year,team,franchise_name,career_ab,career_h,career_hr,career_sb,career_bb,career_so,seasons,bats,ba,obp,iso,k_rate,bb_rate,contact_val,power_val,eye_val,speed_val,defense_val,con_grade,pow_grade,eye_grade,spd_grade,def_grade,avg_attr_score,rarity,is_allstar,is_hof,allstar_selections,gold_gloves,gg_bonus,defense_source
trammal01,trammal01,Alan Trammell,SS,,Big Hair Era (1977-1993),1986,1977,1996,DET,Detroit Tigers,8288,2365,185,236.0,850,874.0,20,R,0.285,0.352,0.13,0.094,0.092,80.6,46.3,48.0,65.0,86.9,A-,D+,D+,B-,A,65.4,Rare,True,True,6,4,6,bbref_war
smithoz01,smithoz01,Ozzie Smith,SS,,Big Hair Era (1977-1993),1987,1978,1996,SLN,St. Louis Cardinals,9396,2460,28,580.0,1072,589.0,19,B,0.262,0.337,0.066,0.056,0.101,67.5,10.0,56.8,93.3,99.0,B-,F,C,A+,S,65.3,Epic,True,True,15,13,6,bbref_war
molitpa01,molitpa01,Paul Molitor,3B,"1B,2B",Big Hair Era (1977-1993),1988,1978,1998,ML4,Milwaukee Brewers,10835,3319,234,504.0,1094,1244.0,21,R,0.306,0.369,0.142,0.103,0.091,98.4,53.5,46.7,78.1,46.0,S,C-,D+,B+,D+,64.5,Rare,True,True,7,0,0,bbref_war
vanslan01,vanslan01,Andy Van Slyke,CF,"1B,RF",Big Hair Era (1977-1993),1990,1983,1995,PIT,Pittsburgh Pirates,5711,1562,164,245.0,667,1063.0,14,L,0.274,0.349,0.169,0.164,0.103,52.9,68.3,58.3,79.0,61.5,C-,B-,C,B+,C+,64.0,Rare,True,False,3,5,6,bbref_war
smithlo01,smithlo01,Lonnie Smith,LF,RF,Big Hair Era (1977-1993),1986,1978,1994,ATL,Atlanta Braves,5170,1488,98,370.0,623,849.0,19,R,0.288,0.371,0.132,0.143,0.105,71.4,47.8,60.1,85.0,53.8,B,D+,C+,A,C-,63.6,Common,True,False,1,0,0,bbref_war
dawsoan01,dawsoan01,Andre Dawson,RF,,Big Hair Era (1977-1993),1986,1976,1996,MON,Washington Nationals,9927,2774,438,314.0,589,1509.0,21,R,0.279,0.323,0.203,0.14,0.055,64.2,87.1,13.9,71.7,80.2,C+,A,F,B,A-,63.4,Rare,True,True,8,8,6,bbref_war
barfije01,barfije01,Jesse Barfield,RF,,Big Hair Era (1977-1993),1987,1981,1992,TOR,Toronto Blue Jays,4759,1219,241,66.0,551,1234.0,13,R,0.256,0.335,0.21,0.229,0.102,21.1,90.6,57.7,48.2,99.0,D-,A+,C,D+,S,63.3,Common,True,False,1,2,4,bbref_war
ripkeca01,ripkeca01,Cal Ripken,SS,3B,Big Hair Era (1977-1993),1991,1981,2001,BAL,Baltimore Orioles,11551,3184,431,36.0,1129,1305.0,21,R,0.276,0.34,0.172,0.101,0.088,69.8,70.1,44.1,33.0,99.0,B-,B,D+,D,S,63.2,Rare,True,True,19,2,4,bbref_war
danieka01,danieka01,Kal Daniels,LF,RF,Big Hair Era (1977-1993),1989,1986,1992,CIN,Cincinnati Reds,2338,666,104,87.0,365,493.0,9,L,0.285,0.382,0.194,0.18,0.133,59.9,82.6,86.2,58.0,27.3,C,A-,A,C,D-,62.8,Common,False,False,0,0,0,bbref_war
hrbekke01,hrbekke01,Kent Hrbek,1B,,Big Hair Era (1977-1993),1988,1981,1994,MIN,Minnesota Twins,6192,1749,293,37.0,838,798.0,14,L,0.282,0.367,0.198,0.112,0.118,73.7,84.7,71.7,32.4,49.4,B,A-,B,D,D+,62.4,Common,True,False,1,0,0,bbref_war
evansda01,evansda01,Darrell Evans,3B,"1B,RF",Big Hair Era (1977-1993),1978,1969,1989,ATL,Atlanta Braves,8973,2223,414,98.0,1605,1410.0,22,L,0.248,0.361,0.183,0.132,0.15,36.3,74.7,99.0,41.5,59.8,D,B,S,D+,C,62.3,Common,True,False,2,0,0,bbref_war
krukjo01,krukjo01,John Kruk,1B,RF,Big Hair Era (1977-1993),1990,1986,1995,PHI,Philadelphia Phillies,3897,1170,100,58.0,649,701.0,11,L,0.3,0.397,0.145,0.153,0.141,80.9,55.1,93.5,43.1,38.5,A-,C,A+,D+,D,62.2,Common,True,False,3,0,0,bbref_war
cartega01,cartega01,Gary Carter,C,"1B,RF",Big Hair Era (1977-1993),1983,1974,1992,MON,Washington Nationals,7971,2092,324,39.0,848,997.0,19,R,0.262,0.335,0.176,0.111,0.094,55.1,72.0,50.3,34.3,99.0,C,B,C-,D,S,62.1,Rare,True,True,11,3,6,bbref_war
strawda01,strawda01,Darryl Strawberry,RF,,Big Hair Era (1977-1993),1991,1983,1999,NYN,New York Mets,5418,1401,335,221.0,816,1352.0,17,L,0.259,0.357,0.247,0.214,0.129,27.1,99.0,82.1,62.6,39.3,D-,S,A-,C+,D,62.0,Rare,True,False,8,0,0,bbref_war
hayesvo01,hayesvo01,Von Hayes,RF,1B,Big Hair Era (1977-1993),1986,1981,1992,PHI,Philadelphia Phillies,5249,1402,143,253.0,712,804.0,12,L,0.267,0.354,0.149,0.133,0.118,54.2,57.5,72.0,70.9,53.9,C-,C,B,B,C-,61.7,Common,True,False,1,0,0,bbref_war
cedence01,cedence01,Cesar Cedeno,CF,"1B,RF",Big Hair Era (1977-1993),1978,1970,1986,HOU,Houston Astros,7310,2087,199,550.0,664,938.0,18,R,0.285,0.347,0.158,0.116,0.082,75.7,63.0,38.8,87.2,43.1,B+,C+,D,A,D+,61.6,Common,True,False,4,5,6,bbref_war
greenmi01,greenmi01,Mike Greenwell,LF,RF,Big Hair Era (1977-1993),1990,1985,1996,BOS,Boston Red Sox,4623,1400,130,80.0,460,364.0,12,L,0.303,0.368,0.16,0.071,0.089,99.0,64.4,45.4,47.6,51.4,S,C+,D+,D+,C-,61.6,Common,True,False,2,0,0,bbref_war
whitede03,whitede03,Devon White,CF,RF,Big Hair Era (1977-1993),1993,1985,2001,CAL,Los Angeles Angels of Anaheim,7344,1934,208,346.0,541,1526.0,17,B,0.263,0.319,0.156,0.19,0.067,37.2,60.9,25.5,84.4,99.0,D,C+,D-,A-,S,61.4,Common,True,False,3,7,6,bbref_war
oneilpa01,o'neipa01,Paul O'Neill,RF,,Big Hair Era (1977-1993),1993,1985,2001,NYA,New York Yankees,7318,2105,281,141.0,892,1166.0,17,L,0.288,0.363,0.183,0.14,0.107,72.0,77.2,62.0,48.3,45.6,B,B+,C+,D+,D+,61.0,Common,True,False,5,0,0,bbref_war
murphdw01,murphdw01,Dwayne Murphy,CF,RF,Big Hair Era (1977-1993),1984,1978,1989,OAK,Oakland Athletics,4347,1069,166,100.0,747,953.0,12,L,0.246,0.356,0.156,0.185,0.145,22.0,58.8,96.7,51.4,73.1,D-,C,S,C-,B,60.4,Common,False,False,0,6,6,bbref_war
daviser01,daviser01,Eric Davis,CF,RF,Big Hair Era (1977-1993),1992,1984,2001,CIN,Cincinnati Reds,5321,1430,282,349.0,740,1398.0,18,R,0.269,0.359,0.214,0.228,0.12,33.5,92.7,74.2,80.9,20.3,D,A+,B,A-,D-,60.3,Common,True,False,2,3,6,bbref_war
gibsoki01,gibsoki01,Kirk Gibson,LF,RF,Big Hair Era (1977-1993),1987,1979,1995,DET,Detroit Tigers,5798,1553,255,284.0,718,1285.0,17,L,0.268,0.352,0.195,0.194,0.108,40.6,82.4,63.0,74.5,40.3,D+,A-,C+,B,D+,60.2,Common,False,False,0,0,0,bbref_war
lemonch01,lemonch01,Chet Lemon,CF,RF,Big Hair Era (1977-1993),1982,1975,1990,DET,Detroit Tigers,6868,1875,215,58.0,749,1024.0,16,R,0.273,0.355,0.169,0.131,0.096,60.3,69.2,51.5,34.5,85.4,C+,B-,C-,D,A,60.2,Common,True,False,3,0,0,bbref_war
redusga01,redusga01,Gary Redus,LF,"1B,RF",Big Hair Era (1977-1993),1988,1982,1994,PIT,Pittsburgh Pirates,3513,886,90,322.0,481,688.0,14,R,0.252,0.342,0.158,0.17,0.119,31.5,62.1,72.7,96.4,38.4,D,C+,B,S,D,60.2,Common,False,False,0,0,0,bbref_war
nettlgr01,nettlgr01,Graig Nettles,3B,,Big Hair Era (1977-1993),1978,1967,1988,NYA,New York Yankees,8986,2225,390,32.0,1088,1209.0,22,L,0.248,0.329,0.173,0.118,0.107,39.3,69.0,61.4,31.8,99.0,D,B-,C+,D,S,60.1,Common,True,False,6,2,4,bbref_war
clarkja01,clarkja01,Jack Clark,RF,1B,Big Hair Era (1977-1993),1984,1975,1992,SFN,San Francisco Giants,6847,1826,340,77.0,1262,1441.0,18,R,0.267,0.379,0.209,0.175,0.154,43.9,90.4,99.0,34.5,32.2,D+,A+,S,D,D,60.0,Common,True,False,4,0,0,bbref_war
phillto02,phillto02,Tony Phillips,LF,"2B,3B,RF,SS",Big Hair Era (1977-1993),1992,1982,1999,OAK,Oakland Athletics,7617,2023,160,177.0,1319,1499.0,20,B,0.266,0.374,0.123,0.166,0.146,45.1,42.4,97.7,52.3,62.4,D+,D+,S,C-,C+,60.0,Common,False,False,0,0,0,bbref_war
maddoga01,maddoga01,Garry Maddox,CF,RF,Big Hair Era (1977-1993),1978,1972,1986,PHI,Philadelphia Phillies,6331,1802,117,248.0,323,781.0,16,R,0.285,0.32,0.128,0.116,0.048,74.9,45.7,7.4,75.5,94.7,B,D+,F,B+,A+,59.6,Common,False,False,0,8,6,bbref_war
wilsowi02,wilsowi02,Willie Wilson,CF,RF,Big Hair Era (1977-1993),1985,1976,1994,KCA,Kansas City Royals,7731,2207,41,668.0,425,1144.0,19,B,0.285,0.326,0.09,0.139,0.051,70.3,22.3,10.8,99.0,94.3,B,D-,F,S,A+,59.3,Common,True,False,2,1,2,bbref_war
bellbu01,bellbu01,Buddy Bell,3B,RF,Big Hair Era (1977-1993),1982,1972,1989,TEX,Texas Rangers,8995,2514,201,55.0,836,776.0,20,R,0.279,0.341,0.127,0.078,0.084,79.0,44.3,40.7,33.0,99.0,B+,D+,D+,D,S,59.2,Common,True,False,5,6,6,bbref_war
lopesda01,lopesda01,Davey Lopes,2B,RF,Big Hair Era (1977-1993),1980,1972,1987,LAN,Los Angeles Dodgers,6354,1671,155,557.0,833,852.0,18,R,0.263,0.349,0.125,0.117,0.115,54.1,42.3,68.9,95.8,34.5,C-,D+,B-,S,D,59.1,Common,True,False,4,1,2,bbref_war
gwynnto01,gwynnto01,Tony Gwynn,RF,,Big Hair Era (1977-1993),1992,1982,2001,SDN,San Diego Padres,9288,3141,135,319.0,790,434.0,20,L,0.338,0.388,0.12,0.043,0.078,99.0,41.9,34.8,66.1,50.9,S,D+,D,B-,C-,58.5,Rare,True,True,15,5,6,bbref_war
mattido01,mattido01,Don Mattingly,1B,RF,Big Hair Era (1977-1993),1988,1982,1995,NYA,New York Yankees,7003,2153,222,14.0,588,444.0,14,L,0.307,0.358,0.164,0.058,0.076,99.0,67.0,33.6,29.9,62.9,S,B-,D,D-,C+,58.5,Common,True,False,6,9,6,bbref_war
lynnfr01,lynnfr01,Fred Lynn,CF,RF,Big Hair Era (1977-1993),1982,1974,1990,BOS,Boston Red Sox,6925,1960,306,72.0,857,1116.0,18,L,0.283,0.36,0.201,0.141,0.109,67.4,86.8,63.3,35.8,37.6,B-,A,C+,D,D,58.2,Common,True,False,9,4,6,bbref_war
riceji01,riceji01,Jim Rice,LF,RF,Big Hair Era (1977-1993),1982,1974,1989,BOS,Boston Red Sox,8225,2452,382,58.0,670,1423.0,16,R,0.298,0.352,0.204,0.157,0.074,77.9,87.2,31.5,41.1,52.7,B+,A,D,D+,C-,58.1,Rare,True,True,8,0,0,bbref_war
macksh01,macksh01,Shane Mack,LF,RF,Big Hair Era (1977-1993),1992,1987,1998,MIN,Minnesota Twins,2857,853,80,90.0,256,509.0,10,R,0.299,0.364,0.158,0.16,0.08,77.6,62.4,37.4,57.2,54.2,B+,C+,D,C,C-,57.8,Common,False,False,0,0,0,bbref_war
fiskca01,fiskca01,Carlton Fisk,C,,Big Hair Era (1977-1993),1982,1969,1993,CHA,Chicago White Sox,8756,2356,376,128.0,849,1386.0,24,R,0.269,0.341,0.188,0.141,0.086,54.2,78.5,42.9,51.3,60.6,C-,B+,D+,C-,C+,57.5,Rare,True,True,11,1,2,bbref_war
puhlte01,puhlte01,Terry Puhl,RF,,Big Hair Era (1977-1993),1984,1977,1991,HOU,Houston Astros,4855,1361,62,217.0,505,507.0,15,L,0.28,0.349,0.108,0.094,0.093,76.1,33.5,49.1,69.3,59.1,B+,D,D+,B-,C,57.4,Common,True,False,1,0,0,bbref_war
milneed01,milneed01,Eddie Milner,CF,RF,Big Hair Era (1977-1993),1984,1980,1988,CIN,Cincinnati Reds,2395,607,42,145.0,286,280.0,9,L,0.253,0.333,0.122,0.104,0.106,48.2,41.6,61.0,73.7,61.5,D+,D+,C+,B,C+,57.2,Common,False,False,0,0,0,bbref_war
thornan01,thornan01,Andre Thornton,1B,,Big Hair Era (1977-1993),1979,1973,1987,CLE,Cleveland Indians,5291,1342,253,48.0,876,851.0,15,R,0.254,0.36,0.198,0.136,0.14,40.9,84.0,91.8,31.8,36.4,D+,A-,A+,D,D,57.0,Common,True,False,2,0,0,bbref_war
fernato01,fernato01,Tony Fernandez,SS,"2B,3B",Big Hair Era (1977-1993),1992,1983,2001,TOR,Toronto Blue Jays,7911,2276,94,246.0,690,784.0,19,B,0.288,0.347,0.111,0.09,0.079,83.9,36.0,36.2,62.2,66.1,A-,D,D,C+,B-,56.9,Common,True,False,5,4,6,bbref_war
daultda01,daultda01,Darren Daulton,C,RF,Big Hair Era (1977-1993),1991,1983,1997,PHI,Philadelphia Phillies,3630,891,137,50.0,629,726.0,15,L,0.245,0.357,0.181,0.168,0.145,25.6,75.6,97.3,51.6,32.5,D-,B+,S,C-,D,56.5,Common,True,False,3,0,0,bbref_war
durhale01,durhale01,Leon Durham,1B,RF,Big Hair Era (1977-1993),1985,1980,1989,CHN,Chicago Cubs,3587,992,147,106.0,444,679.0,11,L,0.277,0.356,0.199,0.167,0.109,55.1,85.2,63.9,50.5,27.7,C,A,C+,C-,D-,56.5,Common,True,False,2,0,0,bbref_war
jacksre01,jacksre01,Reggie Jackson,RF,,Big Hair Era (1977-1993),1977,1967,1987,OAK,Oakland Athletics,9864,2584,563,228.0,1375,2597.0,21,L,0.262,0.356,0.228,0.228,0.121,27.0,99.0,74.4,51.0,30.9,D-,S,B,C-,D,56.5,Rare,True,True,14,0,0,bbref_war
decindo01,decindo01,Doug DeCinces,3B,,Big Hair Era (1977-1993),1980,1973,1987,BAL,Baltimore Orioles,5809,1505,237,58.0,618,904.0,16,R,0.259,0.329,0.186,0.139,0.095,45.3,78.3,50.7,38.0,69.6,D+,B+,C-,D,B-,56.4,Common,True,False,1,0,0,bbref_war
mcbriba01,mcbriba01,Bake McBride,RF,,Big Hair Era (1977-1993),1978,1973,1983,PHI,Philadelphia Phillies,3853,1153,63,183.0,248,457.0,12,L,0.299,0.345,0.121,0.109,0.059,90.2,40.4,18.0,74.5,59.0,A+,D+,F,B,C,56.4,Common,True,False,1,0,0,bbref_war
gaettga01,gaettga01,Gary Gaetti,3B,1B,Big Hair Era (1977-1993),1992,1981,2000,MIN,Minnesota Twins,8951,2280,360,96.0,634,1602.0,22,R,0.255,0.308,0.179,0.164,0.065,35.3,73.8,23.0,48.5,99.0,D,B,D-,D+,S,55.9,Common,True,False,2,4,6,bbref_war
fostege01,fostege01,George Foster,LF,RF,Big Hair Era (1977-1993),1978,1969,1986,CIN,Cincinnati Reds,7023,1925,348,51.0,666,1419.0,20,R,0.274,0.338,0.206,0.182,0.085,49.4,88.1,41.9,39.9,59.3,D+,A,D+,D,C,55.7,Common,True,False,5,0,0,bbref_war
pettiga01,pettiga01,Gary Pettis,CF,RF,Big Hair Era (1977-1993),1988,1982,1992,CAL,Los Angeles Angels of Anaheim,3629,855,21,354.0,521,958.0,12,B,0.236,0.332,0.074,0.23,0.125,1.7,12.8,78.3,99.0,86.1,F,F,B+,S,A,55.6,Common,False,False,0,5,6,bbref_war
richage01,richage01,Gene Richards,LF,"1B,RF",Big Hair Era (1977-1993),1980,1977,1984,SDN,San Diego Padres,3549,1028,26,247.0,356,436.0,8,L,0.29,0.357,0.093,0.111,0.09,80.8,23.9,46.6,83.8,42.6,A-,D-,D+,A-,D+,55.5,Common,False,False,0,0,0,bbref_war
lezcasi01,lezcasi01,Sixto Lezcano,RF,,Big Hair Era (1977-1993),1980,1974,1985,ML4,Milwaukee Brewers,4134,1122,148,37.0,576,768.0,13,R,0.271,0.36,0.168,0.161,0.121,51.8,67.2,74.4,33.3,49.7,C-,B-,B,D,D+,55.3,Common,False,False,0,1,2,bbref_war
thompja01,thompja01,Jason Thompson,1B,,Big Hair Era (1977-1993),1980,1976,1986,DET,Detroit Tigers,4802,1253,208,8.0,816,862.0,12,L,0.261,0.366,0.177,0.152,0.144,44.0,72.2,95.6,19.3,44.9,D+,B,S,F,D+,55.2,Common,True,False,3,0,0,bbref_war
bakerdu01,bakerdu01,Dusty Baker,LF,RF,Big Hair Era (1977-1993),1977,1968,1986,ATL,Atlanta Braves,7117,1981,242,137.0,762,926.0,19,R,0.278,0.347,0.153,0.116,0.095,68.9,59.0,51.1,48.2,47.6,B-,C,C-,D+,D+,55.0,Common,True,False,2,1,2,bbref_war
davisch01,davisch01,Chili Davis,CF,RF,Big Hair Era (1977-1993),1990,1981,1999,CAL,Los Angeles Angels of Anaheim,8673,2380,350,142.0,1194,1698.0,19,B,0.274,0.36,0.177,0.17,0.12,52.4,72.6,73.6,41.2,35.0,C-,B,B,D+,D,55.0,Common,True,False,3,0,0,bbref_war
cansejo01,cansejo01,Jose Canseco,RF,,Big Hair Era (1977-1993),1993,1985,2001,OAK,Oakland Athletics,7057,1877,462,200.0,906,1942.0,19,R,0.266,0.353,0.249,0.239,0.111,28.2,99.0,66.0,52.8,28.5,D-,S,B-,C-,D-,54.9,Common,True,False,6,0,0,bbref_war
murphda05,murphda05,Dale Murphy,CF,"1B,C,RF",Big Hair Era (1977-1993),1985,1976,1993,ATL,Atlanta Braves,7960,2111,398,161.0,986,1748.0,19,R,0.265,0.346,0.204,0.193,0.109,38.2,87.1,63.8,51.1,34.3,D,A,C+,C-,D,54.9,Common,True,False,7,5,6,bbref_war
pendlte01,pendlte01,Terry Pendleton,3B,,Big Hair Era (1977-1993),1992,1984,1998,SLN,St. Louis Cardinals,7032,1897,140,127.0,486,979.0,16,B,0.27,0.316,0.121,0.129,0.064,57.8,41.7,22.3,58.3,94.6,C,D+,D-,C,A+,54.9,Common,True,False,1,3,6,bbref_war
javiest01,javiest01,Stan Javier,CF,RF,Big Hair Era (1977-1993),1992,1984,2001,OAK,Oakland Athletics,5047,1358,57,246.0,578,839.0,20,B,0.269,0.345,0.094,0.148,0.102,52.7,25.8,56.9,79.1,59.7,C-,D-,C,B+,C,54.8,Common,False,False,0,0,0,bbref_war
roeniga01,roeniga01,Gary Roenicke,LF,RF,Big Hair Era (1977-1993),1982,1976,1988,BAL,Baltimore Orioles,2708,670,121,16.0,406,428.0,12,R,0.247,0.351,0.187,0.135,0.128,35.3,78.3,80.9,20.5,59.2,D,B+,A-,D-,C,54.8,Common,False,False,0,0,0,bbref_war
mcreyke01,mcreyke01,Kevin McReynolds,LF,RF,Big Hair Era (1977-1993),1988,1983,1994,NYN,New York Mets,5423,1439,211,93.0,522,707.0,12,R,0.265,0.328,0.182,0.117,0.087,56.3,75.8,43.1,52.4,46.1,C,B+,D+,C-,D+,54.7,Common,False,False,0,0,0,bbref_war
cangejo01,cangejo01,John Cangelosi,CF,RF,Big Hair Era (1977-1993),1992,1985,1999,PIT,Pittsburgh Pirates,2004,501,12,154.0,358,322.0,13,B,0.25,0.37,0.069,0.134,0.149,37.9,10.9,99.0,79.5,44.9,D,F,S,B+,D+,54.4,Common,False,False,0,0,0,bbref_war
doranbi02,doranbi02,Bill Doran,2B,,Big Hair Era (1977-1993),1988,1982,1993,HOU,Houston Astros,5131,1366,84,209.0,709,600.0,13,B,0.266,0.354,0.107,0.102,0.12,60.8,32.8,74.2,63.0,41.4,C+,D,B,C+,D+,54.4,Common,False,False,0,0,0,bbref_war
breamsi01,breamsi01,Sid Bream,1B,,Big Hair Era (1977-1993),1988,1983,1994,PIT,Pittsburgh Pirates,3108,819,90,50.0,353,450.0,13,L,0.264,0.336,0.156,0.128,0.101,52.0,62.3,56.1,38.7,62.0,C-,C+,C,D,C+,54.2,Common,False,False,0,0,0,bbref_war
ceyro01,ceyro01,Ron Cey,3B,,Big Hair Era (1977-1993),1979,1971,1987,LAN,Los Angeles Dodgers,7162,1868,316,24.0,1012,1235.0,17,R,0.261,0.354,0.184,0.148,0.122,44.7,76.3,75.4,21.4,53.4,D+,B+,B+,D-,C-,54.2,Common,True,False,6,0,0,bbref_war
hargrmi01,hargrmi01,Mike Hargrove,1B,RF,Big Hair Era (1977-1993),1979,1974,1985,CLE,Cleveland Indians,5564,1614,80,24.0,965,550.0,13,L,0.29,0.396,0.101,0.083,0.145,87.8,30.0,97.0,16.7,39.7,A,D,S,F,D,54.2,Common,True,False,1,0,0,bbref_war
magadda01,magadda01,Dave Magadan,3B,1B,Big Hair Era (1977-1993),1993,1986,2001,NYN,New York Mets,4159,1197,42,11.0,718,546.0,17,L,0.288,0.39,0.089,0.111,0.145,79.1,23.8,97.2,20.3,50.8,B+,D-,S,D-,C-,54.2,Common,False,False,0,0,0,bbref_war
obriepe03,o'bripe03,Pete O'Brien,1B,,Big Hair Era (1977-1993),1988,1982,1993,TEX,Texas Rangers,5437,1421,169,24.0,641,563.0,12,L,0.261,0.336,0.148,0.092,0.104,58.6,56.0,59.3,23.2,73.3,C,C,C,D-,B,54.1,Common,False,False,0,0,0,bbref_war
puckeki01,puckeki01,Kirby Puckett,CF,RF,Big Hair Era (1977-1993),1990,1984,1995,MIN,Minnesota Twins,7244,2304,207,134.0,450,965.0,12,R,0.318,0.36,0.159,0.124,0.058,99.0,63.2,16.4,48.2,43.7,S,C+,F,D+,D+,54.1,Rare,True,True,10,6,6,bbref_war
cromawa01,cromawa01,Warren Cromartie,LF,"1B,RF",Big Hair Era (1977-1993),1980,1974,1991,MON,Washington Nationals,3927,1104,61,50.0,325,403.0,10,L,0.281,0.336,0.121,0.094,0.076,76.8,42.4,32.9,42.5,74.7,B+,D+,D,D+,B,53.9,Common,False,False,0,0,0,bbref_war
jonesru01,jonesru01,Ruppert Jones,CF,RF,Big Hair Era (1977-1993),1982,1976,1987,SEA,Seattle Mariners,4415,1103,147,143.0,534,817.0,12,L,0.25,0.33,0.166,0.164,0.107,30.7,66.2,61.8,56.3,54.6,D,B-,C+,C,C-,53.9,Common,True,False,2,0,0,bbref_war
