name,pos,team,era,ovr,type
Trevor Hoffman,RP,SDP,Steroid Era (1994-2005),93.0,Lanzador
Paul Molitor,3B,MIL,Big Hair Era (1977-1993),92.9,Bateador
Brooks Robinson,3B,BAL,Expansion (1961-1976),92.8,Bateador
Mark McGwire,1B,OAK,Steroid Era (1994-2005),92.8,Bateador
Gary Carter,C,WSH,Big Hair Era (1977-1993),92.6,Bateador
Jose Altuve,2B,HOU,Modern Era (2016-Pres),92.4,Bateador
Carlos Beltran,CF,KCR,Steroid Era (1994-2005),92.2,Bateador
Pete Rose,3B,CIN,Expansion (1961-1976),92.1,Bateador
Barry Larkin,SS,CIN,Big Hair Era (1977-1993),90.8,Bateador
Dale Murphy,CF,ATL,Big Hair Era (1977-1993),90.5,Bateador
Edgar Martinez,DH,SEA,Steroid Era (1994-2005),90.5,Bateador
Don Mattingly,1B,NYY,Big Hair Era (1977-1993),90.2,Bateador
Justin Turner,3B,LAD,Modern Era (2016-Pres),90.2,Bateador
Ron Santo,3B,CHC,Expansion (1961-1976),90.2,Bateador
Eric Davis,CF,CIN,Big Hair Era (1977-1993),90.0,Bateador
Derek Jeter,SS,NYY,Steroid Era (1994-2005),89.9,Bateador
Curt Schilling,SP,PHI,Steroid Era (1994-2005),89.8,Lanzador
Ken Boyer,3B,STL,Integration (1942-1960),89.8,Bateador
Nelson Cruz,DH,SEA,Modern Era (2016-Pres),89.7,Bateador
Tony Perez,3B,CIN,Expansion (1961-1976),89.7,Bateador
Harmon Killebrew,3B,MIN,Expansion (1961-1976),89.6,Bateador
Luis Gonzalez,LF,ARI,Steroid Era (1994-2005),89.6,Bateador
Ozzie Smith,SS,STL,Big Hair Era (1977-1993),89.4,Bateador
Jim Thome,1B,CLE,Steroid Era (1994-2005),89.0,Bateador
Jason Giambi,1B,NYY,Steroid Era (1994-2005),88.8,Bateador
Josh Hamilton,CF,TEX,Efficiency Era (2006-2015),88.7,Bateador
Steve Garvey,1B,LAD,Big Hair Era (1977-1993),88.6,Bateador
Keith Hernandez,1B,NYM,Big Hair Era (1977-1993),88.5,Bateador
Joe Mauer,C,MIN,Efficiency Era (2006-2015),88.2,Bateador
Lou Brock,LF,STL,Expansion (1961-1976),88.1,Bateador
Ron Cey,3B,LAD,Expansion (1961-1976),88.1,Bateador
Torii Hunter,CF,MIN,Efficiency Era (2006-2015),87.8,Bateador
Gil Hodges,1B,LAD,Integration (1942-1960),87.6,Bateador
Carlos Delgado,1B,TOR,Steroid Era (1994-2005),87.4,Bateador
John Olerud,1B,NYM,Steroid Era (1994-2005),87.3,Bateador
Buddy Bell,3B,TEX,Big Hair Era (1977-1993),87.2,Bateador
Anthony Rizzo,1B,CHC,Modern Era (2016-Pres),86.9,Bateador
Chris Sale,SP,CHW,Modern Era (2016-Pres),86.9,Lanzador
Jimmy Rollins,SS,PHI,Efficiency Era (2006-2015),86.8,Bateador
Joe Torre,C,ATL,Expansion (1961-1976),86.8,Bateador
Cecil Cooper,1B,MIL,Big Hair Era (1977-1993),86.5,Bateador
Carlton Fisk,C,BOS,Big Hair Era (1977-1993),86.3,Bateador
Buster Posey,C,SFG,Efficiency Era (2006-2015),86.1,Bateador
Kent Hrbek,1B,MIN,Big Hair Era (1977-1993),86.1,Bateador
Yadier Molina,C,STL,Efficiency Era (2006-2015),85.5,Bateador
Ryan Zimmerman,3B,WSH,Efficiency Era (2006-2015),85.4,Bateador
Garry Maddox,CF,PHI,Big Hair Era (1977-1993),85.3,Bateador
Paul Konerko,1B,CHW,Steroid Era (1994-2005),85.3,Bateador
Andrew McCutchen,CF,PIT,Efficiency Era (2006-2015),85.2,Bateador
Don Sutton,SP,LAD,Expansion (1961-1976),85.1,Lanzador
Craig Biggio,2B,HOU,Steroid Era (1994-2005),84.9,Bateador
Mike Sweeney,1B,KCR,Steroid Era (1994-2005),84.9,Bateador
Curtis Granderson,CF,DET,Efficiency Era (2006-2015),84.6,Bateador
Pee Wee Reese,SS,LAD,Integration (1942-1960),84.6,Bateador
Salvador Perez,C,KCR,Modern Era (2016-Pres),84.4,Bateador
Tim Salmon,RF,LAA,Steroid Era (1994-2005),84.2,Bateador
Omar Vizquel,SS,CLE,Steroid Era (1994-2005),84.1,Bateador
Shane Victorino,CF,PHI,Efficiency Era (2006-2015),84.0,Bateador
Alex Gordon,LF,KCR,Efficiency Era (2006-2015),83.8,Bateador
John Smoltz,SP,ATL,Steroid Era (1994-2005),83.8,Lanzador
David Cone,SP,NYY,Steroid Era (1994-2005),83.4,Lanzador
Willie Randolph,2B,NYY,Big Hair Era (1977-1993),83.4,Bateador
Corey Kluber,SP,CLE,Modern Era (2016-Pres),83.3,Lanzador
Don Baylor,LF,BAL,Expansion (1961-1976),83.3,Bateador
Ken Singleton,RF,BAL,Big Hair Era (1977-1993),83.3,Bateador
Thurman Munson,C,NYY,Expansion (1961-1976),83.2,Bateador
Vernon Wells,CF,TOR,Steroid Era (1994-2005),83.2,Bateador
Andre Thornton,1B,CLE,Big Hair Era (1977-1993),82.0,Bateador
Brett Butler,CF,CLE,Big Hair Era (1977-1993),81.8,Bateador
Adam Wainwright,SP,STL,Efficiency Era (2006-2015),81.5,Lanzador
John Hiller,RP,DET,Expansion (1961-1976),81.5,Lanzador
Greg Luzinski,LF,PHI,Big Hair Era (1977-1993),81.4,Bateador
Jon Lester,SP,BOS,Efficiency Era (2006-2015),81.3,Lanzador
Ron Guidry,SP,NYY,Big Hair Era (1977-1993),81.1,Lanzador
Al Dark,SS,SFG,Integration (1942-1960),81.0,Bateador
Carlos Carrasco,SP,CLE,Modern Era (2016-Pres),80.3,Lanzador
Gil McDougald,2B,NYY,Integration (1942-1960),80.1,Bateador
Warren Spahn,SP,ATL,Integration (1942-1960),80.1,Lanzador
Carney Lansford,3B,OAK,Big Hair Era (1977-1993),79.9,Bateador
Raul Ibanez,LF,SEA,Efficiency Era (2006-2015),79.8,Bateador
Sean Casey,1B,CIN,Steroid Era (1994-2005),79.8,Bateador
Al Leiter,SP,NYM,Steroid Era (1994-2005),79.4,Lanzador
Tim Hudson,SP,OAK,Steroid Era (1994-2005),79.3,Lanzador
Robin Roberts,SP,PHI,Integration (1942-1960),79.2,Lanzador
Bobby Tolan,CF,CIN,Expansion (1961-1976),78.7,Bateador
Glenn Davis,1B,HOU,Big Hair Era (1977-1993),78.2,Bateador
Dick Groat,SS,PIT,Expansion (1961-1976),77.9,Bateador
Brandon Crawford,SS,SFG,Efficiency Era (2006-2015),77.7,Bateador
Tony Conigliaro,RF,BOS,Expansion (1961-1976),77.4,Bateador
Billy Butler,DH,KCR,Efficiency Era (2006-2015),76.7,Bateador
Wes Parker,1B,LAD,Expansion (1961-1976),76.7,Bateador
Gary Nolan,SP,CIN,Expansion (1961-1976),76.6,Lanzador
Dee Strange-Gordon,2B,MIA,Modern Era (2016-Pres),76.4,Bateador
John Franco,RP,CIN,Big Hair Era (1977-1993),76.4,Lanzador
Sid Bream,1B,PIT,Big Hair Era (1977-1993),76.2,Bateador
Don Robinson,SP,PIT,Big Hair Era (1977-1993),76.1,Lanzador
Barry Zito,SP,OAK,Steroid Era (1994-2005),75.9,Lanzador
Phil Niekro,SP,ATL,Expansion (1961-1976),75.7,Lanzador
Ray Knight,3B,CIN,Big Hair Era (1977-1993),75.7,Bateador
Rick Reuschel,SP,CHC,Big Hair Era (1977-1993),75.7,Lanzador
Tim Wakefield,SP,BOS,Steroid Era (1994-2005),75.4,Lanzador
Jason Varitek,C,BOS,Steroid Era (1994-2005),75.2,Bateador
Mark Loretta,2B,MIL,Steroid Era (1994-2005),75.2,Bateador
Jake Diekman,RP,TEX,Modern Era (2016-Pres),75.1,Lanzador
Bobby Richardson,2B,NYY,Expansion (1961-1976),75.0,Bateador
Mike Timlin,RP,TOR,Steroid Era (1994-2005),74.8,Lanzador
Dennis Leonard,SP,KCR,Big Hair Era (1977-1993),73.8,Lanzador
Jamie Moyer,SP,SEA,Steroid Era (1994-2005),73.7,Lanzador
Dave Stewart,SP,OAK,Big Hair Era (1977-1993),73.5,Lanzador
Tommy John,SP,NYY,Big Hair Era (1977-1993),73.4,Lanzador
Rick Sutcliffe,SP,CHC,Big Hair Era (1977-1993),72.9,Lanzador
Stephen Piscotty,RF,OAK,Modern Era (2016-Pres),72.2,Bateador
Dave Dravecky,SP,SDP,Big Hair Era (1977-1993),72.0,Lanzador
Todd Stottlemyre,SP,STL,Steroid Era (1994-2005),72.0,Lanzador
Harold Reynolds,2B,SEA,Big Hair Era (1977-1993),71.8,Bateador
Vern Law,SP,PIT,Integration (1942-1960),71.5,Lanzador
R. A. Dickey,SP,TOR,Efficiency Era (2006-2015),71.1,Lanzador
Don Kessinger,SS,CHC,Expansion (1961-1976),69.4,Bateador
Ron Oester,2B,CIN,Big Hair Era (1977-1993),68.9,Bateador
Danny Graves,RP,CIN,Steroid Era (1994-2005),68.1,Lanzador
Mark Teahen,3B,KCR,Efficiency Era (2006-2015),67.4,Bateador
Bobby Valentine,SS,LAA,Expansion (1961-1976),66.9,Bateador
Jim Abbott,SP,LAA,Big Hair Era (1977-1993),65.9,Lanzador
Bill Wegman,SP,MIL,Big Hair Era (1977-1993),62.9,Lanzador
Danny Thompson,SS,MIN,Expansion (1961-1976),62.2,Bateador
